user_id,pay_days,repay_days
38170618,90,90
38172297,15,16
38175754,15,15
38175900,10,26
38176421,10,21
38176450,30,30
38176643,10,17
38180957,10,10
38187780,30,30
38195839,10,39
38211180,30,48
38228196,10,10
38228364,30,34
38229509,30,40
38229963,90,90
38232190,15,33
38232197,15,15
38246142,10,15
38258479,10,37
38259176,30,30
38285975,30,64
38286406,10,11
38286670,15,15
38286927,10,10
38290134,10,11
38290152,30,30
38290153,90,90
38291168,30,34
38304670,90,90
38310112,15,35
38311534,10,10
38312697,10,10
38333869,15,18
38334244,15,24
38336530,30,30
38336546,15,22
38343593,10,11
38345809,90,91
38345817,10,38
38349642,30,58
38352613,30,30
38354757,15,16
38355912,30,31
38359114,10,74
38361816,15,15
38388981,30,30
38389018,30,31
38398651,10,10
38398663,10,35
38411915,30,61
38420121,10,10
38421720,30,30
38421735,15,16
38433775,90,90
38438775,15,16
38441358,30,31
38449215,10,10
38454011,30,31
38467692,10,11
38479920,15,15
38482633,30,30
38485737,15,15
38490070,30,32
38490772,15,15
38510911,30,30
38517641,15,18
38522254,30,30
38528077,30,30
38528642,10,41
38532285,30,34
38544839,10,16
38547584,10,41
38548409,10,22
38548420,10,17
38550353,30,32
38552145,10,21
38557760,30,38
38564860,10,12
38568628,10,37
38572610,90,90
38572872,10,37
38573353,10,75
38576855,15,15
38584374,15,15
38587393,10,18
38598298,15,15
38609302,30,30
38614589,30,89
38615828,10,12
38615830,10,10
38616122,15,31
38616180,30,39
38617031,10,76
38621257,30,30
38622636,15,15
38625109,30,34
38628241,15,17
38629443,10,64
38644911,30,33
38648476,10,12
38649714,15,16
38651469,10,10
38659185,30,30
38660992,15,16
38662273,15,22
38662277,30,31
38662297,10,11
38662955,10,19
38662959,10,100
38668615,15,49
38693378,10,10
38712993,30,50
38716234,10,28
38717046,15,20
38717190,10,10
38731051,15,38
38754753,10,18
38758962,10,11
38772577,15,16
38773672,30,30
38774656,10,59
38778154,30,30
38780680,30,30
38782298,30,30
38784110,30,30
38784564,10,26
38784577,10,20
38789600,10,14
38796603,15,17
38796828,15,15
38799358,10,61
38835470,10,10
38836896,10,32
38838616,10,39
38841269,10,10
38844755,10,12
38860325,30,41
38860348,10,51
38866202,30,30
38870531,10,10
38900311,15,16
38902789,90,180
38904240,15,22
38904681,15,15
38922678,10,52
38924417,10,10
38926105,30,30
38927026,30,32
38931382,10,27
38933266,10,31
38937119,10,47
38940121,10,89
38945854,15,16
38968079,90,106
38968935,30,31
38973349,10,12
38974675,10,10
38977252,10,10
38988491,10,14
38988542,15,22
38988562,10,10
38988997,15,30
38993301,30,30
39005728,10,88
39005733,15,42
39007613,10,11
39007617,10,98
39046941,10,25
39063148,30,33
39066728,15,21
39066731,15,18
39071503,15,17
39089536,15,37
39091497,30,42
39099181,15,16
39107618,15,19
39107622,15,19
39107639,15,16
39116307,10,35
39116438,15,34
39129678,90,90
39134423,10,36
39138682,10,13
39140335,10,10
39144157,10,12
39148479,30,31
39148519,15,17
39151383,15,16
39152296,10,36
39155348,30,31
39187271,30,31
39188320,30,30
39190037,10,11
39204833,10,31
39217957,90,100
39233667,10,80
39234935,30,30
39243621,30,30
39243865,10,13
39243877,30,32
39297649,10,10
39332931,10,10
39334746,10,22
39337803,10,10
39356592,30,51
39370377,10,30
39373537,15,15
39377287,30,30
39378939,15,41
39381659,30,109
39383563,10,17
39385888,15,15
39385893,10,39
39388654,10,11
39391828,15,32
39392064,15,15
39393715,15,30
39394441,10,28
39396024,10,53
39397056,15,16
39401261,30,46
39406510,30,47
39408041,10,62
39409622,15,25
39415191,90,92
39423938,15,18
39439466,10,11
39446039,10,38
39456132,30,32
39463697,30,33
39463698,30,30
